"","Interval","tile_id","TotalSittingCapacity","TotalStandingCapacity","TotalCapacity"
"1",1970-01-01 00:30:00,"88a8a02801fffff",0,0,0
"2",1970-01-01 00:30:00,"88a8a02805fffff",0,0,0
"3",1970-01-01 00:30:00,"88a8a02809fffff",0,0,0
"4",1970-01-01 00:30:00,"88a8a02821fffff",0,0,0
"5",1970-01-01 00:30:00,"88a8a02825fffff",0,0,0
"6",1970-01-01 00:30:00,"88a8a02829fffff",0,0,0
"7",1970-01-01 00:30:00,"88a8a02865fffff",21,12,33
"8",1970-01-01 00:30:00,"88a8a0286dfffff",162,129,291
"9",1970-01-01 00:30:00,"88a8a02903fffff",324,286,560
"10",1970-01-01 00:30:00,"88a8a02907fffff",299,235,484
"11",1970-01-01 00:30:00,"88a8a02909fffff",0,0,0
"12",1970-01-01 00:30:00,"88a8a0290bfffff",114,111,225
"13",1970-01-01 00:30:00,"88a8a02911fffff",196,0,196
"14",1970-01-01 00:30:00,"88a8a02919fffff",0,0,0
"15",1970-01-01 00:30:00,"88a8a0291dfffff",251,185,386
"16",1970-01-01 00:30:00,"88a8a02923fffff",228,161,339
"17",1970-01-01 00:30:00,"88a8a02927fffff",139,122,261
"18",1970-01-01 00:30:00,"88a8a0292bfffff",373,256,529
"19",1970-01-01 00:30:00,"88a8a0293dfffff",186,198,384
"20",1970-01-01 00:30:00,"88a8a02947fffff",0,0,0
"21",1970-01-01 00:30:00,"88a8a02951fffff",121,118,239
"22",1970-01-01 00:30:00,"88a8a02953fffff",121,118,239
"23",1970-01-01 00:30:00,"88a8a02955fffff",21,12,33
"24",1970-01-01 00:30:00,"88a8a02957fffff",184,154,338
"25",1970-01-01 00:30:00,"88a8a02959fffff",108,86,194
"26",1970-01-01 00:30:00,"88a8a02965fffff",0,0,0
"27",1970-01-01 00:30:00,"88a8a02969fffff",0,0,0
"28",1970-01-01 00:30:00,"88a8a0296bfffff",0,0,0
"29",1970-01-01 00:30:00,"88a8a0296dfffff",0,0,0
"30",1970-01-01 00:30:00,"88a8a0298dfffff",35,38,73
"31",1970-01-01 00:30:00,"88a8a029d1fffff",35,38,73
"32",1970-01-01 00:30:00,"88a8a029d5fffff",35,38,73
"33",1970-01-01 00:30:00,"88a8a029e3fffff",35,38,73
"34",1970-01-01 00:30:00,"88a8a02a05fffff",21,12,33
"35",1970-01-01 00:30:00,"88a8a02a21fffff",96,67,163
"36",1970-01-01 00:30:00,"88a8a02a23fffff",42,24,66
"37",1970-01-01 00:30:00,"88a8a02a27fffff",42,24,66
"38",1970-01-01 00:30:00,"88a8a02a29fffff",75,55,130
"39",1970-01-01 00:30:00,"88a8a02a9dfffff",50,0,50
"40",1970-01-01 00:30:00,"88a8a02b13fffff",42,24,66
"41",1970-01-01 00:30:00,"88a8a02b15fffff",33,31,64
"42",1970-01-01 00:30:00,"88a8a02b17fffff",108,86,194
"43",1970-01-01 00:30:00,"88a8a02b1bfffff",42,24,66
"44",1970-01-01 00:30:00,"88a8a02b1dfffff",33,31,64
"45",1970-01-01 00:30:00,"88a8a02b33fffff",54,43,97
"46",1970-01-01 00:30:00,"88a8a02b3bfffff",54,43,97
"47",1970-01-01 00:30:00,"88a8a02b51fffff",33,31,64
"48",1970-01-01 00:30:00,"88a8a02b53fffff",33,31,64
"49",1970-01-01 00:30:00,"88a8a06015fffff",39,39,78
"50",1970-01-01 00:30:00,"88a8a06027fffff",77,72,149
"51",1970-01-01 00:30:00,"88a8a06039fffff",39,39,78
"52",1970-01-01 00:30:00,"88a8a0603bfffff",39,39,78
"53",1970-01-01 00:30:00,"88a8a06085fffff",67,54,121
"54",1970-01-01 00:30:00,"88a8a06089fffff",107,93,200
"55",1970-01-01 00:30:00,"88a8a0608bfffff",40,39,79
"56",1970-01-01 00:30:00,"88a8a0608dfffff",107,93,200
"57",1970-01-01 00:30:00,"88a8a06091fffff",113,110,223
"58",1970-01-01 00:30:00,"88a8a06093fffff",38,39,77
"59",1970-01-01 00:30:00,"88a8a06095fffff",73,71,144
"60",1970-01-01 00:30:00,"88a8a06099fffff",43,40,83
"61",1970-01-01 00:30:00,"88a8a0609dfffff",78,78,156
"62",1970-01-01 00:30:00,"88a8a060b1fffff",40,41,81
"63",1970-01-01 00:30:00,"88a8a060b7fffff",40,41,81
"64",1970-01-01 00:30:00,"88a8a060cbfffff",40,41,81
"65",1970-01-01 00:30:00,"88a8a060d1fffff",38,39,77
"66",1970-01-01 00:30:00,"88a8a060d7fffff",241,235,476
"67",1970-01-01 00:30:00,"88a8a060e3fffff",107,93,200
"68",1970-01-01 00:30:00,"88a8a06101fffff",41,32,73
"69",1970-01-01 00:30:00,"88a8a0610dfffff",41,32,73
"70",1970-01-01 00:30:00,"88a8a06111fffff",40,39,79
"71",1970-01-01 00:30:00,"88a8a06115fffff",40,39,79
"72",1970-01-01 00:30:00,"88a8a06117fffff",40,39,79
"73",1970-01-01 00:30:00,"88a8a0611bfffff",40,39,79
"74",1970-01-01 00:30:00,"88a8a06125fffff",78,83,161
"75",1970-01-01 00:30:00,"88a8a06127fffff",117,122,239
"76",1970-01-01 00:30:00,"88a8a0612dfffff",78,83,161
"77",1970-01-01 00:30:00,"88a8a06131fffff",40,39,79
"78",1970-01-01 00:30:00,"88a8a06135fffff",78,83,161
"79",1970-01-01 00:30:00,"88a8a06137fffff",39,39,78
"80",1970-01-01 00:30:00,"88a8a06139fffff",80,78,158
"81",1970-01-01 00:30:00,"88a8a0613bfffff",40,39,79
"82",1970-01-01 00:30:00,"88a8a0613dfffff",40,39,79
"83",1970-01-01 00:30:00,"88a8a06163fffff",41,32,73
"84",1970-01-01 00:30:00,"88a8a0616bfffff",41,32,73
"85",1970-01-01 00:30:00,"88a8a0618bfffff",38,44,82
"86",1970-01-01 00:30:00,"88a8a061a5fffff",118,117,235
"87",1970-01-01 00:30:00,"88a8a061b3fffff",0,0,0
"88",1970-01-01 00:30:00,"88a8a061b7fffff",0,0,0
"89",1970-01-01 00:30:00,"88a8a061cdfffff",37,33,70
"90",1970-01-01 00:30:00,"88a8a061e1fffff",40,39,79
"91",1970-01-01 00:30:00,"88a8a061e7fffff",40,39,79
"92",1970-01-01 00:30:00,"88a8a061edfffff",40,39,79
"93",1970-01-01 00:30:00,"88a8a06201fffff",101,97,198
"94",1970-01-01 00:30:00,"88a8a06203fffff",207,199,406
"95",1970-01-01 00:30:00,"88a8a06209fffff",74,70,144
"96",1970-01-01 00:30:00,"88a8a0620bfffff",243,230,473
"97",1970-01-01 00:30:00,"88a8a06213fffff",43,40,83
"98",1970-01-01 00:30:00,"88a8a06215fffff",37,33,70
"99",1970-01-01 00:30:00,"88a8a0621bfffff",117,106,223
"100",1970-01-01 00:30:00,"88a8a0623bfffff",37,37,74
"101",1970-01-01 00:30:00,"88a8a06243fffff",37,37,74
"102",1970-01-01 00:30:00,"88a8a06245fffff",37,37,74
"103",1970-01-01 00:30:00,"88a8a06247fffff",74,70,144
"104",1970-01-01 00:30:00,"88a8a06249fffff",40,41,81
"105",1970-01-01 00:30:00,"88a8a0624bfffff",83,81,164
"106",1970-01-01 00:30:00,"88a8a0624dfffff",83,81,164
"107",1970-01-01 00:30:00,"88a8a06261fffff",43,40,83
"108",1970-01-01 00:30:00,"88a8a06269fffff",37,37,74
"109",1970-01-01 00:30:00,"88a8a0626dfffff",43,40,83
"110",1970-01-01 00:30:00,"88a8a06281fffff",41,32,73
"111",1970-01-01 00:30:00,"88a8a06283fffff",41,32,73
"112",1970-01-01 00:30:00,"88a8a06285fffff",81,73,154
"113",1970-01-01 00:30:00,"88a8a06293fffff",41,32,73
"114",1970-01-01 00:30:00,"88a8a06295fffff",41,32,73
"115",1970-01-01 00:30:00,"88a8a06297fffff",41,32,73
"116",1970-01-01 00:30:00,"88a8a062b5fffff",40,41,81
"117",1970-01-01 00:30:00,"88a8a062bdfffff",123,122,245
"118",1970-01-01 00:30:00,"88a8a062c5fffff",0,0,0
"119",1970-01-01 00:30:00,"88a8a062e1fffff",37,37,74
"120",1970-01-01 00:30:00,"88a8a062e3fffff",41,32,73
"121",1970-01-01 00:30:00,"88a8a062e5fffff",37,37,74
"122",1970-01-01 00:30:00,"88a8a062e9fffff",672,644,1316
"123",1970-01-01 00:30:00,"88a8a062edfffff",37,37,74
"124",1970-01-01 00:30:00,"88a8a06349fffff",43,40,83
"125",1970-01-01 00:30:00,"88a8a0634dfffff",86,80,166
"126",1970-01-01 00:30:00,"88a8a06441fffff",78,78,156
"127",1970-01-01 00:30:00,"88a8a06443fffff",77,82,159
"128",1970-01-01 00:30:00,"88a8a06445fffff",151,159,310
"129",1970-01-01 00:30:00,"88a8a0644bfffff",116,121,237
"130",1970-01-01 00:30:00,"88a8a0645bfffff",35,38,73
"131",1970-01-01 00:30:00,"88a8a0645dfffff",78,78,156
"132",1970-01-01 00:30:00,"88a8a06469fffff",151,159,310
"133",1970-01-01 00:30:00,"88a8a06503fffff",40,41,81
"134",1970-01-01 00:30:00,"88a8a06509fffff",40,41,81
"135",1970-01-01 00:30:00,"88a8a0650bfffff",40,39,79
"136",1970-01-01 00:30:00,"88a8a0650dfffff",40,41,81
"137",1970-01-01 00:30:00,"88a8a06515fffff",43,39,82
"138",1970-01-01 00:30:00,"88a8a06519fffff",40,39,79
"139",1970-01-01 00:30:00,"88a8a0651dfffff",43,39,82
"140",1970-01-01 00:30:00,"88a8a06523fffff",86,78,164
"141",1970-01-01 00:30:00,"88a8a06539fffff",83,80,163
"142",1970-01-01 00:30:00,"88a8a0653dfffff",43,39,82
"143",1970-01-01 00:30:00,"88a8a06541fffff",75,76,151
"144",1970-01-01 00:30:00,"88a8a06545fffff",35,32,67
"145",1970-01-01 00:30:00,"88a8a06549fffff",0,0,0
"146",1970-01-01 00:30:00,"88a8a0654bfffff",75,76,151
"147",1970-01-01 00:30:00,"88a8a0654dfffff",40,39,79
"148",1970-01-01 00:30:00,"88a8a06555fffff",0,0,0
"149",1970-01-01 00:30:00,"88a8a06557fffff",40,39,79
"150",1970-01-01 00:30:00,"88a8a06561fffff",39,39,78
"151",1970-01-01 00:30:00,"88a8a06563fffff",117,123,240
"152",1970-01-01 00:30:00,"88a8a06567fffff",115,115,230
"153",1970-01-01 00:30:00,"88a8a06569fffff",38,39,77
"154",1970-01-01 00:30:00,"88a8a0656bfffff",192,199,391
"155",1970-01-01 00:30:00,"88a8a06601fffff",0,0,0
"156",1970-01-01 00:30:00,"88a8a06603fffff",38,43,81
"157",1970-01-01 00:30:00,"88a8a06607fffff",38,43,81
"158",1970-01-01 00:30:00,"88a8a0660bfffff",38,43,81
"159",1970-01-01 00:30:00,"88a8a06611fffff",328,221,549
"160",1970-01-01 00:30:00,"88a8a06613fffff",137,133,270
"161",1970-01-01 00:30:00,"88a8a06615fffff",158,145,303
"162",1970-01-01 00:30:00,"88a8a06623fffff",0,0,0
"163",1970-01-01 00:30:00,"88a8a06627fffff",38,43,81
"164",1970-01-01 00:30:00,"88a8a06631fffff",60,51,111
"165",1970-01-01 00:30:00,"88a8a06635fffff",98,94,192
"166",1970-01-01 00:30:00,"88a8a06639fffff",99,90,189
"167",1970-01-01 00:30:00,"88a8a0663dfffff",60,51,111
"168",1970-01-01 00:30:00,"88a8a066c1fffff",50,0,0
"169",1970-01-01 00:30:00,"88a8a066c5fffff",50,0,0
"170",1970-01-01 00:30:00,"88a8a066cbfffff",50,0,0
"171",1970-01-01 00:30:00,"88a8a066cdfffff",81,63,144
"172",1970-01-01 00:30:00,"88a8a066dbfffff",35,38,73
"173",1970-01-01 00:30:00,"88a8a066e3fffff",35,38,73
"174",1970-01-01 00:30:00,"88a8a066e7fffff",85,38,73
"175",1970-01-01 00:30:00,"88a8a066ebfffff",50,0,0
"176",1970-01-01 00:30:00,"88a8a06703fffff",391,391,782
"177",1970-01-01 00:30:00,"88a8a06705fffff",38,39,77
"178",1970-01-01 00:30:00,"88a8a06707fffff",38,39,77
"179",1970-01-01 00:30:00,"88a8a06715fffff",671,668,1339
"180",1970-01-01 00:30:00,"88a8a06717fffff",151,159,310
"181",1970-01-01 00:30:00,"88a8a06731fffff",38,39,77
"182",1970-01-01 00:30:00,"88a8a06737fffff",111,114,225
"183",1970-01-01 00:30:00,"88a8a06739fffff",76,82,158
"184",1970-01-01 00:30:00,"88a8a0673bfffff",111,114,225
"185",1970-01-01 00:30:00,"88a8a0673dfffff",38,43,81
"186",1970-01-01 00:30:00,"88a8a06a01fffff",122,123,245
"187",1970-01-01 00:30:00,"88a8a06a0bfffff",121,128,249
"188",1970-01-01 00:30:00,"88a8a06a0dfffff",40,39,79
"189",1970-01-01 00:30:00,"88a8a06a41fffff",40,39,79
"190",1970-01-01 00:30:00,"88a8a06a53fffff",78,83,161
"191",1970-01-01 00:30:00,"88a8a06a57fffff",161,167,328
"192",1970-01-01 00:30:00,"88a8a06a5bfffff",39,39,78
"193",1970-01-01 00:30:00,"88a8a06a91fffff",40,39,79
"194",1970-01-01 00:30:00,"88a8a06a9bfffff",156,160,316
"195",1970-01-01 00:30:00,"88a8a06ac9fffff",117,122,239
"196",1970-01-01 00:30:00,"88a8a06ad3fffff",79,78,157
"197",1970-01-01 00:30:00,"88a8a06ad9fffff",78,83,161
"198",1970-01-01 00:30:00,"88a8a06adbfffff",118,117,235
"199",1970-01-01 00:30:00,"88a8a06e01fffff",38,43,81
"200",1970-01-01 00:30:00,"88a8a06e03fffff",43,34,77
"201",1970-01-01 00:30:00,"88a8a06e05fffff",81,77,158
"202",1970-01-01 00:30:00,"88a8a06e07fffff",43,34,77
"203",1970-01-01 00:30:00,"88a8a06e0bfffff",119,121,240
"204",1970-01-01 00:30:00,"88a8a06e21fffff",159,155,314
"205",1970-01-01 00:30:00,"88a8a06e23fffff",43,34,77
"206",1970-01-01 00:30:00,"88a8a06e25fffff",39,39,78
"207",1970-01-01 00:30:00,"88a8a06e29fffff",77,82,159
"208",1970-01-01 00:30:00,"88a8a06e2bfffff",43,34,77
"209",1970-01-01 00:30:00,"88a8a06e39fffff",43,34,77
"210",1970-01-01 00:30:00,"88a8a06e4bfffff",40,41,81
"211",1970-01-01 00:30:00,"88a8a06e51fffff",40,41,81
"212",1970-01-01 00:30:00,"88a8a06e53fffff",77,78,155
"213",1970-01-01 00:30:00,"88a8a06e57fffff",116,121,237
"214",1970-01-01 00:30:00,"88a8a06e5bfffff",79,80,159
"215",1970-01-01 00:30:00,"88a8a06ec9fffff",43,39,82
"216",1970-01-01 00:30:00,"88a8a06f41fffff",78,78,156
"217",1970-01-01 00:30:00,"88a8a06f43fffff",116,121,237
"218",1970-01-01 00:30:00,"88a8a06f4dfffff",78,78,156
"219",1970-01-01 00:30:00,"88a8a06f51fffff",155,160,315
"220",1970-01-01 00:30:00,"88a8a06f53fffff",155,160,315
"221",1970-01-01 00:30:00,"88a8a06f5dfffff",77,82,159
"222",1970-01-01 00:30:00,"88a8a070b3fffff",40,41,81
"223",1970-01-01 00:30:00,"88a8a070b7fffff",40,41,81
"224",1970-01-01 00:30:00,"88a8a07191fffff",166,162,328
"225",1970-01-01 00:30:00,"88a8a07197fffff",0,0,0
"226",1970-01-01 00:30:00,"88a8a0719bfffff",40,41,81
"227",1970-01-01 00:30:00,"88a8a0719dfffff",43,40,83
"228",1970-01-01 00:30:00,"88a8a071b5fffff",43,40,83
"229",1970-01-01 00:30:00,"88a8a071bdfffff",43,40,83
"230",1970-01-01 00:30:00,"88a8a07403fffff",37,33,70
"231",1970-01-01 00:30:00,"88a8a07405fffff",37,33,70
"232",1970-01-01 00:30:00,"88a8a07407fffff",37,33,70
"233",1970-01-01 00:30:00,"88a8a07415fffff",37,33,70
"234",1970-01-01 00:30:00,"88a8a07419fffff",37,33,70
"235",1970-01-01 00:30:00,"88a8a0741bfffff",37,33,70
"236",1970-01-01 00:30:00,"88a8a0741dfffff",37,33,70
"237",1970-01-01 00:30:00,"88a8a07425fffff",37,33,70
"238",1970-01-01 00:30:00,"88a8a07429fffff",37,33,70
"239",1970-01-01 00:30:00,"88a8a0742dfffff",37,33,70
"240",1970-01-01 00:30:00,"88a8a07497fffff",0,0,0
"241",1970-01-01 00:30:00,"88a8a074cdfffff",37,33,70
"242",1970-01-01 00:30:00,"88a8a07507fffff",80,73,153
"243",1970-01-01 00:30:00,"88a8a07511fffff",80,73,153
"244",1970-01-01 00:30:00,"88a8a07515fffff",43,40,83
"245",1970-01-01 00:30:00,"88a8a07517fffff",37,33,70
"246",1970-01-01 00:30:00,"88a8a0751dfffff",43,40,83
"247",1970-01-01 00:30:00,"88a8a07521fffff",37,33,70
"248",1970-01-01 00:30:00,"88a8a07525fffff",117,106,223
