"","Interval","TileID","TotalSittingCapacity","TotalStandingCapacity","TotalCapacity"
"1",1970-01-01 00:30:00,"88a8a02801fffff",33,60,93
"2",1970-01-01 00:30:00,"88a8a02805fffff",33,60,93
"3",1970-01-01 00:30:00,"88a8a02809fffff",93,232,325
"4",1970-01-01 00:30:00,"88a8a0280bfffff",81,131,212
"5",1970-01-01 00:30:00,"88a8a02825fffff",33,60,93
"6",1970-01-01 00:30:00,"88a8a02829fffff",33,60,93
"7",1970-01-01 00:30:00,"88a8a0282dfffff",33,60,93
"8",1970-01-01 00:30:00,"88a8a02853fffff",81,131,212
"9",1970-01-01 00:30:00,"88a8a02857fffff",81,131,212
"10",1970-01-01 00:30:00,"88a8a02919fffff",33,60,93
"11",1970-01-01 00:30:00,"88a8a02953fffff",33,60,93
"12",1970-01-01 00:30:00,"88a8a02a01fffff",171,356,527
"13",1970-01-01 00:30:00,"88a8a02a05fffff",231,459,690
"14",1970-01-01 00:30:00,"88a8a02a0bfffff",120,206,326
"15",1970-01-01 00:30:00,"88a8a02a0dfffff",60,103,163
"16",1970-01-01 00:30:00,"88a8a02a11fffff",120,206,326
"17",1970-01-01 00:30:00,"88a8a02a13fffff",60,103,163
"18",1970-01-01 00:30:00,"88a8a02a19fffff",120,206,326
"19",1970-01-01 00:30:00,"88a8a02a57fffff",120,206,326
"20",1970-01-01 00:30:00,"88a8a02a61fffff",120,206,326
"21",1970-01-01 00:30:00,"88a8a02a63fffff",180,309,489
"22",1970-01-01 00:30:00,"88a8a02a69fffff",120,206,326
"23",1970-01-01 00:30:00,"88a8a02a89fffff",252,487,739
"24",1970-01-01 00:30:00,"88a8a02a8bfffff",219,427,646
"25",1970-01-01 00:30:00,"88a8a02a9dfffff",84,210,294
"26",1970-01-01 00:30:00,"88a8a02aadfffff",48,71,119
"27",1970-01-01 00:30:00,"88a8a02ac5fffff",60,103,163
"28",1970-01-01 00:30:00,"88a8a02ac7fffff",252,487,739
"29",1970-01-01 00:30:00,"88a8a02ae3fffff",81,131,212
"30",1970-01-01 00:30:00,"88a8a02ae7fffff",48,71,119
"31",1970-01-01 00:30:00,"88a8a02aebfffff",81,131,212
"32",1970-01-01 00:30:00,"88a8a03987fffff",60,103,163
"33",1970-01-01 00:30:00,"88a8a03995fffff",60,103,163
"34",1970-01-01 00:30:00,"88a8a03997fffff",180,309,489
"35",1970-01-01 00:30:00,"88a8a039a1fffff",60,103,163
"36",1970-01-01 00:30:00,"88a8a039abfffff",111,253,364
"37",1970-01-01 00:30:00,"88a8a039adfffff",111,253,364
"38",1970-01-01 00:30:00,"88a8a039b9fffff",120,206,326
"39",1970-01-01 00:30:00,"88a8a039bbfffff",120,206,326
"40",1970-01-01 00:30:00,"88a8a06015fffff",0,0,0
"41",1970-01-01 00:30:00,"88a8a06039fffff",0,0,0
"42",1970-01-01 00:30:00,"88a8a06085fffff",168,302,470
"43",1970-01-01 00:30:00,"88a8a0608dfffff",108,199,307
"44",1970-01-01 00:30:00,"88a8a060a3fffff",168,302,470
"45",1970-01-01 00:30:00,"88a8a060abfffff",168,302,470
"46",1970-01-01 00:30:00,"88a8a060c3fffff",168,302,470
"47",1970-01-01 00:30:00,"88a8a060c7fffff",108,199,307
"48",1970-01-01 00:30:00,"88a8a060cbfffff",219,452,671
"49",1970-01-01 00:30:00,"88a8a0618dfffff",0,0,0
"50",1970-01-01 00:30:00,"88a8a06193fffff",108,199,307
"51",1970-01-01 00:30:00,"88a8a06197fffff",48,96,144
"52",1970-01-01 00:30:00,"88a8a061a1fffff",60,103,163
"53",1970-01-01 00:30:00,"88a8a061a3fffff",120,206,326
"54",1970-01-01 00:30:00,"88a8a061a5fffff",162,403,565
"55",1970-01-01 00:30:00,"88a8a061b3fffff",168,302,470
"56",1970-01-01 00:30:00,"88a8a061b5fffff",168,302,470
"57",1970-01-01 00:30:00,"88a8a061b7fffff",168,302,470
"58",1970-01-01 00:30:00,"88a8a061c3fffff",0,0,0
"59",1970-01-01 00:30:00,"88a8a061e7fffff",0,0,0
"60",1970-01-01 00:30:00,"88a8a06213fffff",0,0,0
"61",1970-01-01 00:30:00,"88a8a06249fffff",120,206,326
"62",1970-01-01 00:30:00,"88a8a0624bfffff",111,253,364
"63",1970-01-01 00:30:00,"88a8a0624dfffff",120,206,326
"64",1970-01-01 00:30:00,"88a8a06281fffff",222,506,728
"65",1970-01-01 00:30:00,"88a8a06283fffff",330,705,1035
"66",1970-01-01 00:30:00,"88a8a06287fffff",270,602,872
"67",1970-01-01 00:30:00,"88a8a06289fffff",282,609,891
"68",1970-01-01 00:30:00,"88a8a0628bfffff",120,206,326
"69",1970-01-01 00:30:00,"88a8a06293fffff",60,103,163
"70",1970-01-01 00:30:00,"88a8a062b5fffff",270,602,872
"71",1970-01-01 00:30:00,"88a8a062bdfffff",270,602,872
"72",1970-01-01 00:30:00,"88a8a062c1fffff",120,206,326
"73",1970-01-01 00:30:00,"88a8a062c3fffff",282,609,891
"74",1970-01-01 00:30:00,"88a8a062cbfffff",222,506,728
"75",1970-01-01 00:30:00,"88a8a062d1fffff",60,103,163
"76",1970-01-01 00:30:00,"88a8a062d3fffff",60,103,163
"77",1970-01-01 00:30:00,"88a8a062d9fffff",60,103,163
"78",1970-01-01 00:30:00,"88a8a062e7fffff",0,0,0
"79",1970-01-01 00:30:00,"88a8a062e9fffff",0,0,0
"80",1970-01-01 00:30:00,"88a8a06541fffff",0,0,0
"81",1970-01-01 00:30:00,"88a8a06549fffff",0,0,0
"82",1970-01-01 00:30:00,"88a8a06705fffff",0,0,0
"83",1970-01-01 00:30:00,"88a8a06707fffff",0,0,0
"84",1970-01-01 00:30:00,"88a8a0670dfffff",0,0,0
"85",1970-01-01 00:30:00,"88a8a06735fffff",60,103,163
"86",1970-01-01 00:30:00,"88a8a06739fffff",0,0,0
"87",1970-01-01 00:30:00,"88a8a0674dfffff",60,103,163
"88",1970-01-01 00:30:00,"88a8a0676bfffff",60,103,163
"89",1970-01-01 00:30:00,"88a8a06a91fffff",51,150,201
"90",1970-01-01 00:30:00,"88a8a06a9bfffff",162,403,565
"91",1970-01-01 00:30:00,"88a8a06ad3fffff",0,0,0
"92",1970-01-01 00:30:00,"88a8a06adbfffff",0,0,0
"93",1970-01-01 00:30:00,"88a8a06e49fffff",108,199,307
"94",1970-01-01 00:30:00,"88a8a06e4dfffff",168,302,470
"95",1970-01-01 00:30:00,"88a8a06e6dfffff",120,206,326
"96",1970-01-01 00:30:00,"88a8a06f61fffff",60,103,163
"97",1970-01-01 00:30:00,"88a8a06f67fffff",60,103,163
"98",1970-01-01 00:30:00,"88a8a070b3fffff",171,356,527
"99",1970-01-01 00:30:00,"88a8a070b7fffff",171,356,527
"100",1970-01-01 00:30:00,"88a8a0719bfffff",60,103,163
"101",1970-01-01 00:30:00,"88a8a07441fffff",111,253,364
"102",1970-01-01 00:30:00,"88a8a07445fffff",0,0,0
"103",1970-01-01 00:30:00,"88a8a07447fffff",111,253,364
"104",1970-01-01 00:30:00,"88a8a0744bfffff",51,150,201
"105",1970-01-01 00:30:00,"88a8a07461fffff",171,356,527
"106",1970-01-01 00:30:00,"88a8a07465fffff",111,253,364
"107",1970-01-01 00:30:00,"88a8a07467fffff",120,206,326
"108",1970-01-01 00:30:00,"88a8a07469fffff",0,0,0
"109",1970-01-01 00:30:00,"88a8a0746bfffff",111,253,364
"110",1970-01-01 00:30:00,"88a8a07507fffff",222,506,728
"111",1970-01-01 00:30:00,"88a8a07509fffff",0,0,0
"112",1970-01-01 00:30:00,"88a8a07515fffff",120,206,326
"113",1970-01-01 00:30:00,"88a8a0751dfffff",120,206,326
"114",1970-01-01 00:30:00,"88a8a07521fffff",342,712,1054
"115",1970-01-01 00:30:00,"88a8a07525fffff",282,609,891
"116",1970-01-01 00:30:00,"88a8a0752bfffff",333,759,1092
"117",1970-01-01 00:30:00,"88a8a0752dfffff",402,815,1217
