OnibusID,planta_chassi,SittingCapacity,StandingCapacity,TotalCapacity
A27528,,,,
A27565,,,,
A27611,,,,
A27616,,,,
A27660,,,,
A27663,,,,
A27664,,,,
A27669,,,,
A27670,,,,
A41076,,,,
A41181,,,,
A41191,,,,
A41215,,,,
A41301,,,,
A41382,,,,
A50058,,,,
A50060,,,,
A50062,,,,
A50063,,,,
A50064,,,,
A50074,,,,
A50082,,,,
A50085,,,,
A50086,,,,
A50087,,,,
A50088,,,,
A50089,,,,
A50127,,,,
A63516,,,,
A63517,,,,
A63519,,,,
A63520,,,,
A63521,,,,
A63522,,,,
A72158,,,,
A72159,,,,
A72173,,,,
B10011,,,,
B10016,,,,
B10028,,,,
B10034,,,,
B10035,,,,
B10037,,,,
B10048,,,,
B10051,,,,
B10054,,,,
B10063,,,,
B10068,,,,
B10071,,,,
B10075,,,,
B10078,,,,
B10079,,,,
B10080,,,,
B10085,,,,
B10086,,,,
B10088,,,,
B10089,,,,
B10090,,,,
B10092,,,,
B10098,,,,
B10100,,,,
B10102,,,,
B10103,,,,
B10106,,,,
B10107,,,,
B10110,,,,
B10112,,,,
B10117,,,,
B10121,,,,
B10122,,,,
B10129,,,,
B10136,,,,
B10138,,,,
B10142,,,,
B10143,,,,
B10144,,,,
B10145,,,,
B10146,,,,
B10149,,,,
B10151,,,,
B10192,,,,
B10193,,,,
B10194,,,,
B10416,,,,
B10417,,,,
B10419,,,,
B10420,,,,
B10505,,,,
B28567,,,,
B31030,,,,
B31034,,,,
B31066,,,,
B31073,,,,
B31100,,,,
B31107,,,,
B31110,,,,
B31113,,,,
B31114,,,,
B31116,,,,
B31117,,,,
B31123,,,,
B31129,,,,
B31132,,,,
B31133,,,,
B31134,,,,
B31135,,,,
B31136,,,,
B31137,,,,
B31146,,,,
B31149,,,,
B31151,,,,
B31152,,,,
B31153,,,,
B44519,,,,
B44594,,,,
B44654,,,,
B58106,,,,
B63003,,,,
B63005,,,,
B63014,,,,
B63018,,,,
B63020,,,,
B63041,,,,
B63046,,,,
B63047,,,,
B63048,,,,
B63049,,,,
B63050,,,,
B63059,,,,
B63060,,,,
B63065,,,,
B63066,,,,
B63067,,,,
B63075,,,,
B63078,,,,
B63106,,,,
B63107,,,,
B63109,,,,
B63110,,,,
C13009,,,,
C13023,,,,
C13037,,,,
C13041,,,,
C13042,,,,
C13047,,,,
C13209,,,,
C13390,,,,
C30030,,,,
C30045,,,,
C30054,,,,
C30057,,,,
C30060,,,,
C30074,,,,
C30077,,,,
C30078,,,,
C30079,,,,
C30080,,,,
C30135,,,,
C30136,,,,
C30137,,,,
C30138,,,,
C30139,,,,
C30140,,,,
C30158,,,,
C30159,,,,
C30160,,,,
C30161,,,,
C30162,,,,
C30163,,,,
C30244,,,,
C30245,,,,
C30248,,,,
C30249,,,,
C30250,,,,
C30251,,,,
C30252,,,,
C30253,,,,
C30254,,,,
C30281,,,,
C41130,,,,
C44556,,,,
C44571,,,,
C44586,,,,
C44597,,,,
C44678,,,,
C47454,,,,
C47455,,,,
C47456,,,,
C47457,,,,
C47458,,,,
C47529,,,,
C47532,,,,
C47557,,,,
C47565,,,,
C47569,,,,
C47598,,,,
C47612,,,,
C47616,,,,
C47639,,,,
C47688,,,,
C47690,,,,
C47691,,,,
C47692,,,,
C47693,,,,
C47770,,,,
C47771,,,,
C47772,,,,
C47774,,,,
C47775,,,,
C47776,,,,
C47777,,,,
C47778,,,,
C47779,,,,
C47780,,,,
C47782,,,,
C47785,,,,
C47786,,,,
C47787,,,,
C47859,,,,
C47860,,,,
C47861,,,,
C47862,,,,
C47863,,,,
C47864,,,,
C47865,,,,
C47867,,,,
C47868,,,,
C47869,,,,
C47870,,,,
C47871,,,,
C47872,,,,
C47873,,,,
C51526,,,,
C51547,,,,
C51609,,,,
D12158,,,,
D13073,,,,
D13085,,,,
D13087,,,,
D13089,,,,
D13090,,,,
D13091,,,,
D13114,,,,
D13126,,,,
D13132,,,,
D13133,,,,
D13142,,,,
D13172,,,,
D13173,,,,
D13175,,,,
D13182,,,,
D13187,,,,
D13188,,,,
D13192,,,,
D13193,,,,
D13194,,,,
D13196,,,,
D13197,,,,
D13198,,,,
D13200,,,,
D13201,,,,
D13202,,,,
D13203,,,,
D13205,,,,
D13206,,,,
D13207,,,,
D13208,,,,
